shapeID	shapeLabel	target	propertyID 	propertyLabel	valueShape	mandatory 	severity	valueNodeType	repeatable	note
big:Serial:Work	Work (Serial) Text	bf:Text ; bf:Serial	bf:title	Work Title	big:Title	true	Violation 	IRI; bnode	true	Change to 'SeeTitle Sheet' per AdminMetadata
big:Serial:Work	Work (Serial) Text	bf:Text ; bf:Serial	bf:contribution	Contribution	big:Contribution	true	Warning 	IRI; bnode	true	required if applicable.  Should be included if it is there
big:Serial:Work	Work (Serial) Text	bf:Text ; bf:Serial	bf:originDate	Date of Work		true	Warning	literal	true	
big:Serial:Work	Work (Serial) Text	bf:Text ; bf:Serial	bf:originPlace	Place of Origin of the Work		true	Warning	IRI; bnode	false	
big:Serial:Work	Work (Serial) Text	bf:Text ; bf:Serial	bf:identifiedBy	Identifier	big:SerialIdentifier	true	Warning	IRI; bnode	true	
big:Serial:Work	Work (Serial) Text	bf:Text ; bf:Serial	bf:language	Language		true	Violation	IRI	true	
big:Serial:Work	Work (Serial) Text	bf:Text ; bf:Serial	bf:subject	Subject of the Work		true	Warning	IRI; bnode	true	
big:Serial:Work	Work (Serial) Text	bf:Text ; bf:Serial	bf:classification	Classification numbers		true	Warning	IRI; bnode	true	
big:Serial:Work	Work (Serial) Text	bf:Text ; bf:Serial	bf:content 	Content Type		true	Warning	IRI; bnode	true	*Thought to make this false, leveraging the subclass information for the same - will this fulfill this need?  If not, how to address missing data here?  uncontrolled labels .  Essential for differentiation/identification.
big:Serial:Work	Work (Serial) Text	bf:Text ; bf:Serial	bf:adminMetadata	Administrative metadata		true	Violation	IRI; bnode	true	See AdminMetadata Sheet
big:Title	Title	bf:Title	bf:mainTitle	Main Title		true	Violation	literal	false	Move to Title Sheet and add other title types
big:Contribution		bf:Contribution; bf:PrimaryContribution	bf:agent	Agent	big:Agent	true	Warning	IRI; bnode	true	
big:Contribution		bf:Contribution; bf:PrimaryContribution	bf:role	Role	big:Role	true	Warning	IRI; bnode	true	
big:Agent		bf:Agent ; bf:Person ; bf:Family ; bf:Organization ; bf:Jurisdiction ; bf:Meeting	rdfs:label	Agent Label		true	Warning	literal	true	
big:Role		bf:Role	rdfs:label	Role		true	Warning	literal	true	
big:SerialIdentifier		bf:Issn; bf:IssnL	rdf:value	Serial Identifier		true	Warning	literal	true	
										
										
 										
